NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
SWOJSKI SMAK SP Z O.O.;"RESTAURACJA ""SWOJSKI SMAK""";GDA—SK;UL. HEWELIUSZA;25;GASTRONOMIA;;
"PRZEDSI BIORSTWO PRODUKCYJNO US£UGOWO HANDLOWE ""DEKOM"" SP. Z O. O.";"KAWIARNIA W HOTELU ""DAL""";GDA—SK;UL. CZARNY DW”R;4;GASTRONOMIA;;
HELIOS SP”£KA AKCYJNA;BAR PRZY KINIE HELIOS;GDA—SK;UL. KO£OBRZESKA;41;GASTRONOMIA;C;
HELIOS SP”£KA AKCYJNA;BAR POPCORN - 2 KONDYGNACJA;GDA—SK;UL. TARG SIENNY;7;GASTRONOMIA;;
HELIOS SP”£KA AKCYJNA;BAR POPCORN - 3 KONDYGNACJA;GDA—SK;UL. TARG SIENNY;7;GASTRONOMIA;;
"BAR ""PYRA"" MAREK LANGOWSKI";"BAR ""PYRA""";GDA—SK;UL. GARBARY;6;GASTRONOMIA;7;
US£UGI GASTRONOMICZNE MARZENA BANACH PUB POLSKIE KINO;"PUB ""POLSKIE KINO""";GDA—SK;UL. SZEROKA;97;GASTRONOMIA;;
LOFT TOMASZ PEK (WSP”£NIK SP”£KI CYWILNEJ);"PUB ""LOFT""";GDA—SK;UL. M£Y—SKA;15;GASTRONOMIA;;
LUCHA LIBRE £UKASZ JANKOWSKI;"KAWIARNIA ""LAMUS""";GDA—SK;UL. LAWENDOWA;8;GASTRONOMIA;;
TOP SERWIS GRZEGORZ ROZALEWICZ;"PIZZERIA ""PRL""";GDA—SK;UL. DO STUDZIENKI;34A;GASTRONOMIA;;
TOP SERWIS GRZEGORZ ROZALEWICZ;KLUB SESJA;GDA—SK;UL. ROMUALDA TRAUGUTTA;115B;GASTRONOMIA;;
PRZEDSI BIORSTWO US£UGOWE BOME BOØENA KRZEMI—SKA;"DEGUSTATORNIA PIWA ""ZAJEZDNIA DOLNE MIASTO""";GDA—SK;UL. TORU—SKA;27;GASTRONOMIA;;
"BAR BISTRO ""MARIACKA"" RYSZARD KOSZA£KA";"BAR BISTRO ""MARIACKA""";GDA—SK;UL. MARIACKA;21;GASTRONOMIA;22;
"F.H.P.""KASZUBSKA""  IRENA LIPKOWSKA";"BAR ""RENE""";GDA—SK;UL. ALEJA GRUNWALDZKA;28;GASTRONOMIA;2;
"PIZZERIA ""NAPOLI"" ROMAN W•SOWSKI";"RESTAURACJA ""EURO""";GDA—SK;UL. D£UGA;79;GASTRONOMIA;80;
"PIZZERIA ""NAPOLI"" ROMAN W•SOWSKI";"PIZZERIA ""NAPOLI""";GDA—SK;UL. D£UGA;62;GASTRONOMIA;63;
PUB KUèNIA MACIEJ CYSEWSKI;"PUB ""Z INNEJ BECZKI""";GDA—SK;UL. WAJDELOTY;10;GASTRONOMIA;1;
"BAR ""PRZYSTA—"" MA£GORZATA SMOLAREK";"BAR ""PRZYSTA—""";GDA—SK;UL. JACHTOWA;2;GASTRONOMIA;;
CARREFOUR POLSKA SP. Z O.O.;BAR;GDA—SK;UL. FRANCISZKA SCHUBERTA;102A;GASTRONOMIA;;
DIAKOSZ MARCIN DIAK I MICHA£ KOSZYKOWSKI SC;"RESTAURACJA ""GVARA""";GDA—SK;UL. CHLEBNICKA;48;GASTRONOMIA;51;
TIMO GRZYBOWSKI SP”£KA JAWNA;"BAR ""TIMO SUSHI""";GDA—SK;UL. Z£OTA KARCZMA;26;GASTRONOMIA;21C;
RESTAURACJA POD BASZTAMI IRENA ROSIEK-KUCZY—SKA;RESTAURACJA POD BASZTAMI;GDA—SK;UL. LATARNIANA;2;GASTRONOMIA;;
MSG NATALIA KARWCZUN;"LOKAL GASTRONOMICZNY ""MESO RAMEN""";GDA—SK;UL. OBRO—C”W WYBRZEØA;17;GASTRONOMIA;4;
