NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
CAFE BAR MON BALZAC BOGDAN WASILEWSKI;"KAWIARNIA ""MON BALZAC CAFE BAR""";GDA—SK;UL. PIWNA;36;GASTRONOMIA;39;
"PIZZERIA ""KR”LEWSKA"" ZBIGNIEW SADOWSKI";PIZZERIA KR”LEWSKA;GDA—SK;UL. WA£Y JAGIELLO—SKIE;8;GASTRONOMIA;;
"FIRMA HANDLOWA ""KARMAZYN""  BOØENA DUDZIK";BAR KARMAZYN;GDA—SK;UL. JANTAROWA;4;GASTRONOMIA;BAR;
PIEKARNIA-CUKIERNIA PELLOWSKI JAKUB PELLOWSKI;"KAWIARNIA - RESTAURACJA ""LOOKIER""";GDA—SK;UL. D£UGA;39;GASTRONOMIA;;
USTKA-TOUR S.C.S£AWOMIR GOJDè, JERZY OLSZEWSKI, ADAM W GIERSKI;BAR NA STATKU LEW;GDA—SK;UL. RYBACKIE POBRZEØE;-;GASTRONOMIA;-;
FUNDACJA INNOWACJI SPO£ECZNEJ Z SIEDZIB• W GDA—SKU;"KAWIARNIA ""KUèNIA CAFE""";GDA—SK;UL. GOåCINNA;10;GASTRONOMIA;;
FUNDACJA INNOWACJI SPO£ECZNEJ Z SIEDZIB• W GDA—SKU;"RESTAURACJA W HOTELU ""SO STAY CITY & BUSINESS""";GDA—SK;UL. KARTUSKA;18;GASTRONOMIA;;
ZAK£AD BLACHARSKO -DEKARSKI I IZOL.TERMICZ. ZBIGNIEW RUDZI—SKI;"RESTAURACJA W HOTELU ""BEETHOVEN""";GDA—SK;UL. BEETHOVENA;7;GASTRONOMIA;;
PIZZERIA MANIANA BRZOSKOWSKA ALEKSANDRA;PIZZERIA MANIANA;GDA—SK;UL. WARNE—SKA;8F;GASTRONOMIA;;
"""FAMILIA"" JOANNA JURGIEL-GRUSZECKA";PIZZERIA   FAMILIA;GDA—SK;UL. MACIEJA KAMIE—SKIEGO;1;GASTRONOMIA;7;
PRZEDSI BIORSTWO PRODUKCYJNO-US£UGOWE KUCHNIA POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""KUCHNIA POLSKA""";GDA—SK;UL. D£UGIE OGRODY;8;GASTRONOMIA;;
SFINKS POLSKA SP”£KA AKCYJNA;"RESTAURACJA ""SPHINX""";GDA—SK;UL. ALEJA GRUNWALDZKA;82;GASTRONOMIA;;
SFINKS POLSKA SP”£KA AKCYJNA;"RESTAURACJA ""SPHINX""";GDA—SK;UL. KO£OBRZESKA;41C;GASTRONOMIA;;
SFINKS POLSKA SP”£KA AKCYJNA;"RESTAURACJA ""SPHINX-WOOK""";GDA—SK;UL. Z£OTA KARCZMA;26;GASTRONOMIA;19;
SFINKS POLSKA SP”£KA AKCYJNA;"RESTAURACJA ""SFINKS""";GDA—SK;UL. D£UGI TARG;31;GASTRONOMIA;32;
DARIUSZ REDZIMSKI GOLDEN CHICKEN (WSP”LNIK SP”£KI CYWILNEJ);"RESTAURACJA ""GOLDEN CHICKEN""";GDA—SK;UL. ST•GIEWNA;7;GASTRONOMIA;;
SCANDIC POLEN SP. Z O.O.;"RESTAURACJA ""SENSO""";GDA—SK;UL. PODWALE GRODZKIE;9;GASTRONOMIA;;
"FIRMA HANDLOWA ""FEN"" DARIUSZ SKRZYPEK";"PIZZERIA ""U SKRZYPKA""";GDA—SK;UL. JAGIELLO—SKA;36N;GASTRONOMIA;;
"FIRMA HANDLOWA ""FEN"" DARIUSZ SKRZYPEK";"PIZZERIA ""U SKRZYPKA""";GDA—SK;UL. JAåKOWA DOLINA;130 C;GASTRONOMIA;;
"FIRMA HANDLOWA ""FEN"" DARIUSZ SKRZYPEK";"PIZZERIA ""U SKRZYPKA""";GDA—SK;UL. åWI TOKRZYSKA;22;GASTRONOMIA;;
CELIK COMPANY SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;RESTAURACJA LEZZETLI;GDA—SK;UL. PODWALE GRODZKIE;8;GASTRONOMIA;;
CELIK COMPANY SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""LEZZETLI""";GDA—SK;UL. OBRO—C”W WYBRZEØA;1;GASTRONOMIA;;
"TOMASZ ROTER, RAFA£ JASI—SKI  ""AZYL"" S.C.";PUB YGREK;GDA—SK;UL. POLANKI;65;GASTRONOMIA;;
"TOMASZ ROTER, RAFA£ JASI—SKI  ""AZYL"" S.C.";"KLUB STUDENCKI ""IKS""";GDA—SK;UL. POLANKI;66;GASTRONOMIA;;
"TOMASZ ROTER, RAFA£ JASI—SKI  ""AZYL"" S.C.";"KLUB STUDENCKI ""AUTSAJDER""";GDA—SK;UL. DO STUDZIENKI;34A;GASTRONOMIA;;
"TOMASZ ROTER, RAFA£ JASI—SKI  ""AZYL"" S.C.";"KLUB STUDENCKI ""MEDYK""";GDA—SK;UL. D BOWA;7;GASTRONOMIA;;
"TOMASZ ROTER, RAFA£ JASI—SKI  ""AZYL"" S.C.";"KLUB ""MECHANICZNA POMARA—CZA""";GDA—SK;UL. DO STUDZIENKI;61;GASTRONOMIA;;
RESTAURACJA ØURAW PIOTR WOCIAL;RESTAURACJA ØURAW;GDA—SK;UL. D£UGIE POBRZEØE;32;GASTRONOMIA;;
"PIZZERIA ""PLANETA"" IWONA KUCHARSKA";PIZZERIA PLANETA;GDA—SK;UL. KARTUSKA;195;GASTRONOMIA;;
VILLA ANGELA ANDØELIKA GRZYWACZ;"RESTAURACJA W ""WLLI ANGELA""";GDA—SK;UL. BEETHOVENA;12;GASTRONOMIA;;
"FIRMA HANDLOWO US£UGOWA ,,BLASZEK"" DARIUSZ B£ASZEK";"BAR ""RYBKA""";GDA—SK;UL. ALEJA GEN. J”ZEFA HALLERA;273;GASTRONOMIA;;
"BAR GASTRONOMICZNY ""RAJ"" EWA DZIURZY—SKA";"BAR ""RAJ""";GDA—SK;UL. HYNKA;53;GASTRONOMIA;;
KRZYSZTOF ORZECHOWSKI DARKRIS TRAVEL SP”£KA CYWILNA;"BAR-TAWERNA NA STATKU ""CZARNA PER£A""";GDA—SK;UL. D£UGIE POBRZEØE;-;GASTRONOMIA;;
ORIGINAL BURGER CO EWA FRAZER;"RESTAURACJA ""ORGINAL BURGER""";GDA—SK;UL. D£UGA;47;GASTRONOMIA;49;
"HOTEL "" BARTAN"" BOØENNA GAST";"RESTAURACJA W HOTELU ""BARTAN""";GDA—SK;UL. TURYSTYCZNA;9A;GASTRONOMIA;;
"HOTEL "" BARTAN"" BOØENNA GAST";RESTAURACJA  KUCHARIA;GDA—SK;UL. ANTONIEGO S£ONIMSKIEGO;6;GASTRONOMIA;U4;
HOTEL RENUSZ DANUTA RENUSZ;RESTAURACJA W HOTELU RENUSZ;GDA—SK;UL. NADWIåLA—SKA;56;GASTRONOMIA;;
"FIRMA HANDLOWO-US£UGOWA ""ABC SEKWOJA"" BEATA JANKOWSKA";"DRINK BAR ""SEKWOJA""";GDA—SK;UL. GEN. BORA-KOMOROWSKIEGO;7;GASTRONOMIA;;
"BAR ""KAPRYS"" STANIS£AWA KLUCZEK";"BAR ""KAPRYS""";GDA—SK;UL. LESZCZY—SKICH;11C;GASTRONOMIA;;
JOANNA ST PNIAK BAR KUFELEK;BAR KUFELEK;GDA—SK;UL. ZAWISZY CZARNEGO;17;GASTRONOMIA;;
KAMI S.C. VIOLETTA CECHOSZ DARIUSZ CECHOSZ;RESTAURACJA HACJENDA;GDA—SK;UL. PARTYZANT”W;46;GASTRONOMIA;;
"TOMASZ ROTER, RAFA£ JASI—SKI  ""AZYL"" S.C.";"RESTAURACJA ""BACALAO""";;;;GASTRONOMIA;;GDA—SK-BRZEèNO, NA PLAØY, NA PROWO OD WEJåCI NAR 52
"""BISTRO DZIEWI•TKA"" KATARZYNA HINC";BAR BISTRO DZIEWI•TKA;GDA—SK;UL. RADAROWA;9A;GASTRONOMIA;;
OLTIM SP. Z O.O.;ORGANIZACJA PRZYJ ∆;GDA—SK;UL. KO£OBRZESKA;30;GASTRONOMIA;;
BAR HAWAJSKI MA£GORZATA PASZT;"BAR ""HAWAJSKI""";GDA—SK;UL. BA£TYCKA;7;GASTRONOMIA;;
"""BASTION-BJ"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"BAR ""BIG JOHNY""";GDA—SK;UL. WA£Y JAGIELLO—SKIE;5;GASTRONOMIA;;
PLAØA S.C. JAROS£AW P£OTKA, EUGENIUSZ DAMPS, ROMAN MISZK;BAR SAMBIA;GDA—SK;UL. WYDMY;1;GASTRONOMIA;;
PLAØA S.C. JAROS£AW P£OTKA, EUGENIUSZ DAMPS, ROMAN MISZK;"BAR ""ZEFIREK""";GDA—SK;UL. WYDMY;1;GASTRONOMIA;;
"FIRMA HANDLOWA ""CORRIDA"" ANDRZEJ ZAREMBA";"BAR ""CONTROL FOOD""";GDA—SK;UL. WILHELMA STRYJEWSKIEGO;29F;GASTRONOMIA;;
£UKASZ PO£OCZANIN;"RESTAURACJA ""FALA""";GDA—SK;UL. PIASTOWSKA;212;GASTRONOMIA;-;
LA PAMPA STEAK HOUSE PETER SIKORSKI;"RESTAURACJA""LA PAMPA STEAK HOUSE""";GDA—SK;UL. SZEROKA;32-35;GASTRONOMIA;;
LA PAMPA STEAK HOUSE PETER SIKORSKI;"RESTAURACJA ""LA PAMPA STEAK HOUSE""";GDA—SK;UL. SZEWSKA;1;GASTRONOMIA;4;
LA PAMPA STEAK HOUSE PETER SIKORSKI;"LOKAL ""TORTILLOWNIA""";GDA—SK;UL. åW. DUCHA;12;GASTRONOMIA;14;
VIOLETTA RZ DOWSKA;"PIZZERIA ""NOWA PLANETA""";GDA—SK;UL. BERNARDA CHRZANOWSKIEGO;58;GASTRONOMIA;;
RESTAURACJA KROWA I KURCZAK STANIS£AW PA£KIEWICZ;RESTAURACJA KROWA I KURCZAK;GDA—SK;UL. ALEJA GRUNWALDZKA;355;GASTRONOMIA;;
BARISTA SP. AKCYJNA;RESTAURACJA HARD ROCK CAFE;GDA—SK;UL. D£UGI TARG;35/38;GASTRONOMIA;BC;
"MARIUSZ ZAWADZKI ""PERSONA""";RESTAURACJA RUCOLINA;GDA—SK;UL. PRZYWIDZKA;8;GASTRONOMIA;;
BARBARA RITZ;"RESTAURACJA ""BASIA RITZ""";GDA—SK;UL. SZAFARNIA;6;GASTRONOMIA;6;
BASMA - ROCHDI MZOUGHI;"PIZZERIA ""SICILIA""";GDA—SK;UL. PA—SKA;7;GASTRONOMIA;8;
DOMOTEL SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;RESTAURACJA SZAFARNIA 10;GDA—SK;UL. SZAFARNIA;10;GASTRONOMIA;;
JAKUB WERDENOWSKI;"PUB ""PASZCZA LWA""";GDA—SK;UL. KWIETNA;39;GASTRONOMIA;;
1. DIN GDANSK ADAM DOPIERA£A   2. RESTAURACJA BELLEVUE ADAM DOPIERA£A;RESTAURACJA BELLEVUE;GDA—SK;UL. TARG RYBNY;10B;GASTRONOMIA;;
JVB JULIA VIKMAN ZESP”£ MUZYCZNY;"KAWIARNIA ""OLD GDA—SK BEER""";GDA—SK;UL. PIWNA;56/57;GASTRONOMIA;1;
"""CUKIERNIA"" ADAM SULEWSKI, MIROS£AWA ZYCH SP”£KA CYWILNA";CUKIERNIA STARA KISZEWA;GDA—SK;UL. SZEROKA;125/126;GASTRONOMIA;;
WOJT WOJCIECH PIECHOCI—SKI;"RESTAURACJA ""DA GRASSO""";GDA—SK;UL. JAB£ONIOWA;20;GASTRONOMIA;008;
KURHAUS MILENA KOTECKA;"KLUBOKAWIARNIA ""KURHAUS""";GDA—SK;UL. ALDONY;6;GASTRONOMIA;;
"""AN-KA"" ANNA KAWCZY—SKA";"KARCZMA ""UJEåCISKO""";GDA—SK;UL. £”DZKA;26;GASTRONOMIA;;
BISTRO W£OSKIE RYSZARD ∆WI K;"BAR ""W£OSKIE BISTRO""";GDA—SK;UL. ØWIRKI I WIGURY;4A;GASTRONOMIA;15;
"ELØBIETA KIERSNOWSKA PIZZERIA ""ROMINA""";"PIZZERIA ""ROMINA""";GDA—SK;UL. FRANCISZKA HYNKA;8;GASTRONOMIA;;
LA FONTAINE PIOTR KOT£OWSKI;"RESTAURACJI ""LA FONTAINE""";GDA—SK;UL. DYREKCYJNA;2-4;GASTRONOMIA;;
"PRZEDSI BIORSTWO HANDLOWO-US£UGOWE ""LED"" EWA LEWANDOWSKA";BAR GASTRONOMICZNY LED;GDA—SK;UL. ALEJA GEN. J”ZEFA HALLERA;-;GASTRONOMIA;;
"""INTERGASTR"" HENRYK JAN LEWANDOWSKI";RESTAURACJA GDA—SKA;GDA—SK;UL. åW. DUCHA;16/20;GASTRONOMIA;;
LIDO JERZY SZYMANIK;RESTAURACJA LIDO;GDA—SK;UL. BRZEèNIE—SKA;4;GASTRONOMIA;;
LY BAR DRINK & CAFE  ZBIGNIEW PETROWSKI PORT LOTNICZY IM. L. WA£ SY;"RESTAURACJA ""RISTORANTE LA CUCINA""";GDA—SK;UL. TANDETA;1;GASTRONOMIA;77;
RESTAURACJA PARKOWA ZBIGNIEW LUBISZEWSKI;"RESTAURACJA ""PARKOWA""";GDA—SK;UL. POMORSKA;57A;GASTRONOMIA;;
"BAR UNIWERSALNY ""MACIUå"" MA£GORZATA MULAK";BAR MACIUå;GDA—SK;UL. ALEJA GRUNWALDZKA;77;GASTRONOMIA;;
PRZEDSI BIORSTWO HANDLOWO-US£UGOWE JDM JACEK CIUNDZIEWICKI;"KLUB BILARDOWY ""STREFA""";GDA—SK;UL. GDY—SKA;4;GASTRONOMIA;;
"""MAXX PIZZA"" GRZEGORZ DRZEWUCKI";"PIZZERIA ""MAXX PIZZA""";GDA—SK;UL. PILOT”W;3;GASTRONOMIA;;
MICHA£ WILBIK MODERN CAFE;"KAWIARNIA ""MODERN CAFE""";GDA—SK;UL. Z£OTA KARCZMA;26;GASTRONOMIA;;
"""OPAK"" KRZYSZTOF CH•DZY—SKI";"BAR ""NALEåNIKOWO""";GDA—SK;UL. OGARNA;124;GASTRONOMIA;125;
"RESTAURACJA ""BARY£KA"" JERZY OLSZ”WKA,";"RESTAURACJA ""BARY£KA""";GDA—SK;UL. D£UGIE POBRZEØE;24;GASTRONOMIA;;
ONYSZCZUK STANIS£AW ROBERT GOèDZIELEWSKI BAR GASTRONOMICZNY MC STANLEY S.C;"BAR ""MC STANLEY""";GDA—SK;UL. ALEJA RZECZYPOSPOLITEJ;21A;GASTRONOMIA;;
PASO— W£ODZIMIERZ FIRMA HANDLOWO US£UGOWA;"BAR ""RING CLUB""";GDA—SK;UL. CIESZY—SKIEGO;36;GASTRONOMIA;43;
LA FAMIGLIA S.C.ANNA MATEJKO, WITOLD KSEPKA;"PIZZERIA ""LA FAMIGLIA""";GDA—SK;UL. LEKTYKARSKA;1/2;GASTRONOMIA;1;
PRIME FOOD SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"BAR ""BURGER STACJA""";GDA—SK;UL. FRANCISZKA HYNKA;65;GASTRONOMIA;21;
PRIME FOOD SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"BAR ""PO NALESNIKU""";GDA—SK;UL. ALEJA GRUNWALDZKA;211;GASTRONOMIA;;
PROWANSJA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""PIZZA PAI""";GDA—SK;UL. SZCZ åLIWA;3;GASTRONOMIA;;
FIRMA EURO-MAX WIES£AW K£OS;PUB MAX;GDA—SK;UL. TRUBADUR”W;8;GASTRONOMIA;;
JUMA - MAGDALENA WALTER, MAREK WYPYCH S.C.;"RESTAURACJA ""LULA - FOOD AND DRINK""";GDA—SK;UL. CYPRIANA KAMILA NORWIDA;4;GASTRONOMIA;;
P.H.U. PB RAFA£ ØYREK;"BAR W RESTAURACJI ""PIATTO BLANCO""";GDA—SK;UL. STANIS£AWA WYSPIA—SKIEGO;22;GASTRONOMIA;1A;
FOTO WIEØA JACEK   MARIA PLEBA—CZYK-WYROSTEK;"KAWIARNIA ""FUSY I MI TUSY""";GDA—SK;UL. GROBLA IV;2;GASTRONOMIA;;
AKADEMICKI ZWI•ZEK SPORTOWY CENTRALNY OåRODEK SPORTU AKADEMICKIEGO OåRODEK W GDA—SKU G”RKACH ZACHODNICH;"RESTAURACJA ""GALION""";GDA—SK;UL. STOGI;20;GASTRONOMIA;;
PIEKARNIA - CUKIERNIA  S£AWOMIR MIELNIK;"CUKIERNIA - KAWIARNIA ""MIELNIK""";GDA—SK;UL. JAGIELLO—SKA;2B;GASTRONOMIA;;
ANDREAS RUSZT ANDRZEJ SZLASS;"BAR ""SUSHI""";GDA—SK;UL. ALEJA GRUNWALDZKA;472;GASTRONOMIA;;
"""SEMPRE PIZZA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA KOMANDYTOWA";"PIZZERIA ""SEMPRE""";GDA—SK;UL. D£UGA;6/7;GASTRONOMIA;8;
"""SEMPRE PIZZA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA KOMANDYTOWA";"PIZZERIA ""SEMPRE""";GDA—SK;UL. TARG RYBNY;11;GASTRONOMIA;U1;
"""SEMPRE PIZZA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA KOMANDYTOWA";"PIZZERIA ""SEMPRE PIZZA&VINO""";GDA—SK;UL. TARG RYBNY;11;GASTRONOMIA;U4;
FOCUS HOTELS S.A;"RESTAURACJA W HOTELU ""FOCUS""";GDA—SK;UL. ELBL•SKA;85;GASTRONOMIA;;
FOCUS HOTELS S.A;RESTAURACJA HOTEL FOCUS PREMIUM;GDA—SK;UL. NAD STAWEM;5;GASTRONOMIA;;
MT CORP SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"BAR ""BIFOR""";GDA—SK;UL. STANIS£AWA WYSPIA—SKIEGO;9;GASTRONOMIA;;
"BAR GASTRONOMICZNY ""AKRIM"" ELØBIETA R•CZY—SKA";"BAR ""AKRIM""";GDA—SK;UL. OBRO—C”W WYBRZEØA;12;GASTRONOMIA;;
PIWNICA åW.JERZEGO S.C. ADAM GAJEWSKI MICHA£ GAJEWSKI;"RESTAURACJA ""PIWNICA åW. JERZEGO""";GDA—SK;UL. TARG W GLOWY;27;GASTRONOMIA;;
4P JAROS£AW ZIELI—SKI;KAWIARNIA CAFE;GDA—SK;UL. ALEJA GRUNWALDZKA;82;GASTRONOMIA;;
OTWARTA- KRZYSZTOF KARØEWICZ;KAWIARNIA  OTWARTA;GDA—SK;UL. ANTONIEGO S£ONIMSKIEGO;6;GASTRONOMIA;;
"PUB ""PIWNICA""  JACEK PILARSKI, ARLETTA CZAJKOWSKA-PILARSKA";PUB PIWNICA;GDA—SK;UL. GARBARY;1;GASTRONOMIA;;
NOWY ABSYNT KARL KUELLMER;"PUB ""CAFE ABSINTHE""";GDA—SK;UL. åW. DUCHA;2;GASTRONOMIA;;
FAMILIA ADAM MROZI—SKI;"RESTAURACJA ""FAMILIA""";GDA—SK;UL. GARBARY;2;GASTRONOMIA;4;
HOSSA.BIZ. SP. Z O.O.;"RESTAURACJA ""BISTRO S£OWACKI""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;3;GASTRONOMIA;;
HOSSA.BIZ. SP. Z O.O.;KAWIARNIA STARY MENAØ;GDA—SK;UL. JULIUSZA S£OWACKIEGO;23;GASTRONOMIA;;
LA BOCCA ØANETA KWIDZI—SKA;"PIZZERIA ""LA BOCCA""";GDA—SK;UL. STARTOWA;30;GASTRONOMIA;;
PIXEL - DAWID KO£ODZIEJCZYK, PIOTR JURACH S.C.;"BAR ""PIXEL""";GDA—SK;UL. SPICHRZOWA;22;GASTRONOMIA;1;
KATARZYNA SZYMCZAK;"BAR ""NO TO CYK""";GDA—SK;UL. CHLEBNICKA;2;GASTRONOMIA;;
BILLY'S AMERICAN RESTAURANTS SP.Z O.O.;"RESTAURACJA ""BILLY'S AMERICAN RESTAURANTS""";GDA—SK;UL. WARZYWNICZA;10;GASTRONOMIA;A-E;
BILLY'S AMERICAN RESTAURANTS SP.Z O.O.;RESTAURACJA BILLY'S AMERICAN;GDA—SK;UL. TARG SIENNY;7;GASTRONOMIA;;
"MAREK PATRZA£EK ""PRZYSTANEK PATRZA£KOWIE"" S.C. MAREK PATRZA£EK";"BAR ""PRZYSTANEK PATRZA£KOWIE""";GDA—SK;UL. PIWNA;3/4;GASTRONOMIA;5/6;
VILLA RAMZES  KAROLINA CHYLI—SKA;"RESTAURACJA W ""VILLI RAMZES""";GDA—SK;UL. DWORSKA;4A;GASTRONOMIA;;
DEKKO KAFE SZWACZKOWSKI KRZYSZTOF;"KAWIARNIA 'KAFE KAMIENICA""";GDA—SK;UL. MARIACKA;37/39;GASTRONOMIA;1;
DEKKO KAFE SZWACZKOWSKI KRZYSZTOF;"KAWIARNIA ""PERRO NEGRO""";GDA—SK;UL. åW. DUCHA;37;GASTRONOMIA;39;
"PIEKARNIA - CUKIERNIA ""AS"" JACEK SZYD£OWSKI";"KAWIARNIA ""CAFE FERBER""";GDA—SK;UL. D£UGA;77;GASTRONOMIA;78;
"RESTAURACJA ""NAUTILUS"" SZCZ SNY ANDRZEJ";"RESTAURACJA ""NAUTILUS""";GDA—SK;UL. BA£TYCKA;5;GASTRONOMIA;;
STARA W DZARNIA BARTOSZ GRABOWSKI;"PENSJONAT ""STARA W DZARNIA""";GDA—SK;UL. NADWIåLA—SKA;79;GASTRONOMIA;;
"PRZEDSI BIORSTWO US£UGOWO-HANDLOWE ""STER"" JANUSZ SZYPKOWSKI";"BAR ""STER""";GDA—SK;UL. TURYSTYCZNA;3;GASTRONOMIA;;
TELEPIZZA POLAND SP Z O.O.;PIZZERIA TELEPIZZA;GDA—SK;UL. ST•GIEWNA;6;GASTRONOMIA;;
BAR U BABUNI BAWORSKI WOJCIECH;"RESTAURACJA ""U BABUNI""";GDA—SK;UL. FRANCISZKA HYNKA;6;GASTRONOMIA;;
U CHIEFA  ANDRZEJ LACHOWSKI;BAR U CHIEFA;GDA—SK;UL. ALEJA GEN. J”ZEFA HALLERA;267;GASTRONOMIA;BAR;
UNIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• HOTEL HANZA;"RESTAURACJA W HOTELU ""HANZA""";GDA—SK;UL. TOKARSKA;6;GASTRONOMIA;;
"""UYKAN COMPANY"" ORHAN UYKAN";BAR ALANYA KEBAP;GDA—SK;UL. GRUNWALDZKA;141;GASTRONOMIA;;
"""UYKAN COMPANY"" ORHAN UYKAN";"BAR ""ALANYA KEBAB""";GDA—SK;UL. KO£ODZIEJSKA;2;GASTRONOMIA;;
"FIRMA HANDLOWO-GASTRONOMICZNA ""SALSA"" S.C. URSZULA I  TADEUSZ ZAKRZEWSCY";"PUB ""SALSA""";GDA—SK;UL. CHA£UBI—SKIEGO;29;GASTRONOMIA;;
"BAR ""£AB Dè"" GRZEGORZ PILARSKI";"BAR ""£AB Dè""";GDA—SK;UL. KARWIE—SKA;3;GASTRONOMIA;;
"BAR GASTRONOMICZNY ""FLISAK"" JOLANTA £AWNICZAK";BAR FLISAK;GDA—SK;UL. CHLEBNICKA;9;GASTRONOMIA;10;
PRZEDSI BIORSTWO PRODUKCYJNO HANDLOWO-US£UGOWE MIROS£AW £OSI—SKI;RESTAURACJA O£OWIANKA;GDA—SK;UL. O£OWIANKA;3A;GASTRONOMIA;;
SUNSHINE GDA—SK SP.Z O.O.;"BAR ""CELESTIN RESIDENCE""";GDA—SK;UL. STRAGANIARSKA;19;GASTRONOMIA;;
"""SUKCES"" - US£UGI GASTRONOMICZNE ADRIANNA £AZAJ";"BAR ""KARTUSKA-BAR""";GDA—SK;UL. KARTUSKA;26;GASTRONOMIA;40;
"""DOMINIUM"" SP”£KA AKCYJNA";PIZZA DOMINIUM;GDA—SK;UL. ALEJA GRUNWALDZKA;141;GASTRONOMIA;;
"""DOMINIUM"" SP”£KA AKCYJNA";RESTAURACJA DOMINIUM;GDA—SK;UL. KO£OBRZESKA;41;GASTRONOMIA;;
"""CRISTAL"" AGNIESZKA KURZYK";"BAR ""åLEDZIK""";GDA—SK;UL. ALEJA GEN. J”ZEFA HALLERA;269;GASTRONOMIA;;
LOGOS DARIUSZ SOBOLEWSKI;"BAR ""ZAGRODA RYBACKA""";GDA—SK;UL. MI£A;14;GASTRONOMIA;;
F.H.U. STREFA UNO MARZENA SZYMCZAK;"BAR SEZONOWY ""UNO""";GDA—SK;UL. PIASTOWSKA;209;GASTRONOMIA;;
AGRO PAW£OWO SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"KAWIARNIA ""KELLER COFFE""";GDA—SK;UL. D£UGI TARG;1;GASTRONOMIA;7;
"""OSKAR"" US£UGI GASTRONOMICZNE BOGDAN KAMI—SKI";"BAR ""OSKAR"" NA STATKU PRZYCUMOWANYM";GDA—SK;UL. WARTKA;-;GASTRONOMIA;-;
CASINO SP Z O.O.;"BAR ""CASINO CRISTAL""";GDA—SK;UL. ALEJA GRUNWALDZKA;105;GASTRONOMIA;;
CASINO SP Z O.O.;BAR W KASYNIE;GDA—SK;UL. JANA HEWELIUSZA;22;GASTRONOMIA;;
FUNDACJA PROMOCJI SOLIDARNOåCI;BAR KAWOWY W SALI BHP;GDA—SK;UL. KS. JERZEGO POPIE£USZKI;6;GASTRONOMIA;;
RESTAURACJA BAZYLIA SABRINA SZKUDLAREK-PUSZ;RESTAURACJA BAZYLIA;GDA—SK;UL. W£ADYS£AWA CIESZY—SKIEGO;12;GASTRONOMIA;;
COFFEE PERK ALEKSANDRA MARRAS;"KAWIARNIA ""COFFEE PERK""";GDA—SK;UL. OPATA JACKA RYBI—SKIEGO;11;GASTRONOMIA;;
SP”£DZIELNIA SOCJALNA DWIE ZMIANY;"KLUB ""ZIEMIA""";GDA—SK;UL. ALEJA GRUNWALDZKA;76;GASTRONOMIA;78;
PING PONG R. BRZOSKOWSKI, Y. QUAN S.C.;"RESTAURACJA ""PING PONG""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;21;GASTRONOMIA;;
KATARZYNA KOBYLI—SKA;"PUB ""DEGUSTATORNIA""";GDA—SK;UL. GRODZKA;16;GASTRONOMIA;;
FOOD PLANET SP. Z O.O.;"RESTAURACJA  ""THAI  THAI""";GDA—SK;UL. PODGARBARY;10;GASTRONOMIA;;
BOCOACH&EVENTS KATARZYNA BOLDA;"RESTAURACJA ""NOVA PIEROGOVA""";GDA—SK;UL. SZAFARNIA;6;GASTRONOMIA;U2;
BOCOACH&EVENTS KATARZYNA BOLDA;"RESTAURACJA ""PRZEPIS NA...""";GDA—SK;UL. JAåKOWA DOLINA;132;GASTRONOMIA;5;
FIRMA HADLOWO-US£UGOWA LYUBOV MAJDA;"BAR ""DOMINIKANO""";GDA—SK;UL. PLAC DOMINIKA—SKI;1;GASTRONOMIA;15;
CHLEBNICKA KAROL JARZ BI—SKI;"PUB ""TABAKA""";GDA—SK;UL. CHLEBNICKA;43;GASTRONOMIA;44;
LUMIDO SP. Z O.O.;"CUKIERNIA ""UMAM MARINA""";GDA—SK;UL. SZAFARNIA;11;GASTRONOMIA;;
BAR GASTONOMICZNY URSZULA ØUKOWSKA;BAR BASTRONOMICZNY;GDA—SK;UL. KLINICZNA;2;GASTRONOMIA;;
CHE£CHOWSKA MARIA KOBZA HAUS;BAR W KAMIENICY KOBZA HAUS;GDA—SK;UL. ST•GIEWNA;2;GASTRONOMIA;3;
HOTREST SP. Z O.O.;"RESTAURACJA ""LATAJ•CY HOLENDER""";GDA—SK;UL. D£UGI TARG;33;GASTRONOMIA;34;
